hours_per_week,age,marital_status_Divorced,marital_status_Married-AF-spouse,marital_status_Married-civ-spouse,marital_status_Married-spouse-absent,marital_status_Never-married,marital_status_Separated,marital_status_Widowed,income_>50K
45,47,0,0,1,0,0,0,0,1
60,59,0,0,1,0,0,0,0,1
30,55,1,0,0,0,0,0,0,0
55,52,0,0,1,0,0,0,0,1
40,40,0,0,1,0,0,0,0,0
40,41,0,0,0,0,1,0,0,0
40,34,0,0,1,0,0,0,0,0
40,47,0,0,1,0,0,0,0,1
40,28,0,0,1,0,0,0,0,0
40,36,0,0,1,0,0,0,0,1
25,42,0,0,1,0,0,0,0,0
50,37,0,0,0,0,1,0,0,1
40,51,0,0,1,0,0,0,0,0
50,28,0,0,0,0,1,0,0,0
90,49,1,0,0,0,0,0,0,0
40,44,0,0,1,0,0,0,0,1
48,39,0,0,0,0,1,0,0,1
40,60,0,0,0,0,0,0,1,0
40,57,1,0,0,0,0,0,0,0
40,39,0,0,0,0,1,0,0,0
40,51,0,0,0,0,0,0,1,0
40,42,0,0,1,0,0,0,0,1
40,28,0,0,0,0,0,1,0,0
40,29,0,0,0,0,1,0,0,0
50,24,0,0,0,0,1,0,0,0
20,21,0,0,0,0,1,0,0,0
50,32,0,0,1,0,0,0,0,0
40,36,0,0,1,0,0,0,0,0
40,42,1,0,0,0,0,0,0,0
65,41,0,0,1,0,0,0,0,1
40,24,0,0,1,0,0,0,0,0
50,24,0,0,0,0,1,0,0,1
40,39,0,0,1,0,0,0,0,0
45,26,0,0,0,0,1,0,0,0
35,25,0,0,0,0,1,0,0,1
24,59,0,0,1,0,0,0,0,0
40,32,0,0,1,0,0,0,0,1
30,33,0,0,0,0,1,0,0,0
40,32,0,0,1,0,0,0,0,1
50,27,0,0,0,0,1,0,0,0
65,46,0,0,1,0,0,0,0,1
40,54,0,0,1,0,0,0,0,1
40,28,0,0,0,0,1,0,0,0
37,36,0,0,1,0,0,0,0,0
40,30,0,0,0,0,1,0,0,0
50,29,0,0,0,0,1,0,0,0
40,52,0,0,1,0,0,0,0,0
50,23,0,0,1,0,0,0,0,0
50,23,0,0,0,0,1,0,0,0
40,60,1,0,0,0,0,0,0,1
40,25,0,0,0,0,1,0,0,0
20,61,0,0,1,0,0,0,0,0
40,27,0,0,1,0,0,0,0,1
40,27,0,0,0,0,1,0,0,0
40,41,0,0,1,0,0,0,0,0
40,52,1,0,0,0,0,0,0,0
40,39,0,0,1,0,0,0,0,0
40,24,0,0,0,0,1,0,0,0
40,36,1,0,0,0,0,0,0,0
50,41,0,0,1,0,0,0,0,1
40,34,0,0,0,0,1,0,0,0
60,39,0,0,1,0,0,0,0,0
50,54,0,0,1,0,0,0,0,1
40,48,0,0,0,1,0,0,0,0
33,18,0,0,0,0,1,0,0,0
50,59,0,0,1,0,0,0,0,1
38,40,0,0,0,0,1,0,0,0
30,53,0,0,1,0,0,0,0,0
40,27,0,0,1,0,0,0,0,0
40,57,0,0,1,0,0,0,0,1
40,22,0,0,0,0,1,0,0,0
40,29,0,0,0,0,1,0,0,0
25,18,0,0,0,0,1,0,0,0
25,17,0,0,0,0,1,0,0,0
40,39,0,0,0,0,1,0,0,0
35,42,0,0,1,0,0,0,0,1
40,25,0,0,0,0,1,0,0,0
40,31,0,0,0,0,1,0,0,0
20,68,0,0,0,0,0,0,1,0
40,25,0,0,0,0,1,0,0,0
24,61,1,0,0,0,0,0,0,0
40,21,0,0,1,0,0,0,0,0
60,48,0,0,0,0,1,0,0,1
40,26,0,0,0,0,1,0,0,0
32,38,0,0,0,0,0,1,0,0
40,24,0,0,0,0,1,0,0,0
50,40,0,0,1,0,0,0,0,0
35,18,0,0,0,0,1,0,0,0
40,35,0,0,1,0,0,0,0,1
40,35,0,0,1,0,0,0,0,0
30,53,0,0,0,0,0,1,0,0
43,59,0,0,1,0,0,0,0,1
60,41,0,0,1,0,0,0,0,0
20,19,0,0,0,0,1,0,0,0
24,19,0,0,0,0,1,0,0,0
40,35,0,0,1,0,0,0,0,0
50,42,0,0,0,0,0,1,0,1
40,52,0,0,1,0,0,0,0,1
43,50,0,0,1,0,0,0,0,1
40,49,0,0,1,0,0,0,0,1
25,28,0,0,0,0,1,0,0,0
40,44,0,0,1,0,0,0,0,1
50,44,0,0,1,0,0,0,0,1
40,37,0,0,1,0,0,0,0,0
3,66,0,0,0,0,0,0,1,0
40,50,1,0,0,0,0,0,0,0
40,39,0,0,0,0,0,1,0,0
50,24,0,0,0,0,1,0,0,0
40,72,0,0,1,0,0,0,0,0
40,53,0,0,1,0,0,0,0,1
35,33,0,0,0,0,0,1,0,0
20,28,1,0,0,0,0,0,0,0
38,62,0,0,0,0,0,0,1,0
40,52,1,0,0,0,0,0,0,0
40,31,0,0,1,0,0,0,0,0
50,34,0,0,1,0,0,0,0,1
50,40,0,0,0,0,1,0,0,0
40,27,0,0,1,0,0,0,0,1
65,29,0,0,1,0,0,0,0,0
40,33,0,0,1,0,0,0,0,0
40,46,0,0,1,0,0,0,0,0
60,41,0,0,1,0,0,0,0,1
30,20,0,0,0,0,1,0,0,0
20,19,0,0,0,0,1,0,0,0
40,30,0,0,1,0,0,0,0,0
4,65,0,0,1,0,0,0,0,0
40,51,0,0,0,0,1,0,0,0
55,48,0,0,0,0,1,0,0,1
36,61,0,0,1,0,0,0,0,0
40,40,0,0,1,0,0,0,0,0
45,31,0,0,0,0,1,0,0,1
40,38,0,0,1,0,0,0,0,0
40,57,0,0,1,0,0,0,0,0
40,50,0,0,1,0,0,0,0,0
40,62,1,0,0,0,0,0,0,0
40,48,1,0,0,0,0,0,0,1
40,39,0,0,0,0,1,0,0,0
40,39,1,0,0,0,0,0,0,0
37,59,1,0,0,0,0,0,0,0
40,27,0,0,1,0,0,0,0,0
55,34,0,0,1,0,0,0,0,1
38,43,0,0,1,0,0,0,0,1
40,21,0,0,0,1,0,0,0,0
48,64,0,0,1,0,0,0,0,0
35,53,1,0,0,0,0,0,0,0
40,90,0,0,1,0,0,0,0,1
45,30,0,0,0,0,1,0,0,0
24,23,0,0,0,0,1,0,0,0
30,41,0,0,0,0,1,0,0,0
15,40,0,0,1,0,0,0,0,0
40,19,0,0,0,0,1,0,0,0
40,58,0,0,1,0,0,0,0,1
50,25,0,0,0,0,1,0,0,1
40,34,0,0,0,0,1,0,0,0
40,47,0,0,0,0,0,1,0,0
50,24,0,0,0,0,1,0,0,0
50,50,0,0,1,0,0,0,0,1
35,19,0,0,0,1,0,0,0,0
12,44,1,0,0,0,0,0,0,0
40,47,1,0,0,0,0,0,0,0
40,27,0,0,0,0,1,0,0,0
32,60,0,0,1,0,0,0,0,0
37,54,0,0,0,0,0,0,1,0
55,49,0,0,1,0,0,0,0,1
5,17,0,0,0,0,1,0,0,0
56,27,0,0,1,0,0,0,0,0
40,36,0,0,0,0,1,0,0,0
50,47,0,0,1,0,0,0,0,1
40,23,0,0,0,0,1,0,0,0
30,69,0,0,1,0,0,0,0,0
40,33,0,0,0,0,1,0,0,1
34,53,0,0,1,0,0,0,0,0
40,55,0,0,1,0,0,0,0,0
40,66,0,0,1,0,0,0,0,1
50,32,0,0,1,0,0,0,0,0
25,18,0,0,0,0,1,0,0,0
28,53,0,0,0,0,0,0,1,0
55,40,0,0,0,0,0,1,0,0
40,29,0,0,0,0,1,0,0,0
38,51,0,0,0,0,1,0,0,0
40,35,0,0,0,0,0,1,0,0
40,40,1,0,0,0,0,0,0,0
40,18,0,0,0,0,1,0,0,0
50,32,0,0,0,0,1,0,0,0
14,59,0,0,1,0,0,0,0,1
40,29,0,0,0,0,1,0,0,0
40,58,0,0,1,0,0,0,0,0
40,17,0,0,0,1,0,0,0,0
43,28,0,0,1,0,0,0,0,0
40,33,0,0,1,0,0,0,0,1
55,47,0,0,1,0,0,0,0,1
50,24,0,0,0,0,1,0,0,0
60,40,0,0,1,0,0,0,0,1
40,44,1,0,0,0,0,0,0,0
42,62,0,0,1,0,0,0,0,0
38,40,1,0,0,0,0,0,0,0
37,51,0,0,1,0,0,0,0,1
7,79,0,0,1,0,0,0,0,0
50,44,0,0,1,0,0,0,0,1
40,33,0,0,0,0,1,0,0,0
43,58,0,0,0,0,1,0,0,1
40,62,0,0,1,0,0,0,0,0
30,36,1,0,0,0,0,0,0,0
50,46,0,0,1,0,0,0,0,1
64,24,0,0,0,0,1,0,0,0
20,22,0,0,1,0,0,0,0,0
35,30,0,0,0,1,0,0,0,0
26,33,0,0,0,0,1,0,0,0
50,39,0,0,1,0,0,0,0,0
40,39,0,0,1,0,0,0,0,1
50,46,0,0,1,0,0,0,0,1
52,53,0,0,1,0,0,0,0,1
40,32,0,0,0,0,0,1,0,0
40,33,0,0,0,0,1,0,0,0
40,40,0,0,0,0,1,0,0,0
8,17,0,0,0,0,1,0,0,0
40,34,0,0,1,0,0,0,0,0
40,22,0,0,0,0,1,0,0,0
40,23,0,0,0,0,1,0,0,0
40,50,0,0,1,0,0,0,0,1
40,45,1,0,0,0,0,0,0,0
40,33,0,0,0,0,1,0,0,0
40,52,0,0,0,0,1,0,0,0
40,23,0,0,0,0,1,0,0,0
50,56,0,0,1,0,0,0,0,1
55,29,0,0,0,0,1,0,0,0
25,47,1,0,0,0,0,0,0,0
50,44,0,0,1,0,0,0,0,1
30,38,0,0,0,0,1,0,0,0
40,34,0,0,1,0,0,0,0,0
25,18,0,0,0,0,1,0,0,0
40,56,0,0,1,0,0,0,0,1
12,23,0,0,0,0,1,0,0,0
23,18,0,0,0,0,1,0,0,0
50,37,1,0,0,0,0,0,0,0
40,50,0,0,1,0,0,0,0,0
50,40,0,0,1,0,0,0,0,0
40,33,0,0,1,0,0,0,0,0
40,53,0,0,1,0,0,0,0,0
40,35,0,0,1,0,0,0,0,0
40,54,0,0,1,0,0,0,0,0
45,45,0,0,1,0,0,0,0,0
35,44,1,0,0,0,0,0,0,0
20,22,0,0,0,0,1,0,0,0
20,50,0,0,1,0,0,0,0,0
40,40,0,0,1,0,0,0,0,1
45,30,0,0,0,0,1,0,0,0
40,37,0,0,1,0,0,0,0,1
15,33,0,0,1,0,0,0,0,0
40,38,0,0,1,0,0,0,0,0
8,23,0,0,0,0,1,0,0,0
30,22,0,0,0,0,1,0,0,0
40,30,1,0,0,0,0,0,0,0
60,26,0,0,0,0,1,0,0,0
40,54,1,0,0,0,0,0,0,1
40,38,0,0,1,0,0,0,0,0
45,30,0,0,1,0,0,0,0,0
40,44,1,0,0,0,0,0,0,0
15,17,0,0,0,0,1,0,0,0
40,36,1,0,0,0,0,0,0,0
12,74,0,0,1,0,0,0,0,0
10,81,0,0,1,0,0,0,0,0
48,24,0,0,1,0,0,0,0,0
38,34,0,0,1,0,0,0,0,0
40,39,0,0,1,0,0,0,0,0
55,45,0,0,1,0,0,0,0,0
50,64,0,0,1,0,0,0,0,1
30,30,1,0,0,0,0,0,0,0
52,39,0,0,1,0,0,0,0,0
40,25,0,0,0,0,1,0,0,0
60,39,0,0,1,0,0,0,0,0
50,36,0,0,1,0,0,0,0,1
40,34,1,0,0,0,0,0,0,0
70,64,0,0,1,0,0,0,0,0
40,26,0,0,1,0,0,0,0,1
50,25,0,0,0,0,1,0,0,0
15,20,0,0,0,0,1,0,0,0
40,34,0,1,0,0,0,0,0,1
30,18,0,0,0,0,1,0,0,0
55,49,1,0,0,0,0,0,0,0
40,32,1,0,0,0,0,0,0,0
25,73,0,0,1,0,0,0,0,0
30,20,0,0,0,0,1,0,0,0
40,35,0,0,1,0,0,0,0,0
60,55,0,0,1,0,0,0,0,0
40,49,1,0,0,0,0,0,0,0
40,48,0,0,1,0,0,0,0,1
40,53,1,0,0,0,0,0,0,0
36,57,0,0,1,0,0,0,0,0
20,17,0,0,0,0,1,0,0,0
40,37,1,0,0,0,0,0,0,0
35,33,1,0,0,0,0,0,0,0
35,67,0,0,0,0,1,0,0,0
43,41,0,0,1,0,0,0,0,0
45,37,0,0,1,0,0,0,0,0
20,33,0,0,1,0,0,0,0,0
40,39,1,0,0,0,0,0,0,0
10,21,0,0,0,0,1,0,0,0
40,35,0,0,1,0,0,0,0,0
40,20,0,0,0,0,1,0,0,0
40,34,0,0,0,0,0,1,0,0
32,44,0,0,0,0,1,0,0,0
40,60,0,0,0,0,0,0,1,0
40,30,0,0,0,0,1,0,0,0
48,58,0,0,0,0,1,0,0,0
50,52,0,0,1,0,0,0,0,0
40,30,0,0,0,0,1,0,0,0
40,39,1,0,0,0,0,0,0,0
20,22,0,0,0,0,1,0,0,0
60,55,0,0,1,0,0,0,0,0
2,68,0,0,0,0,0,0,1,0
38,25,0,0,1,0,0,0,0,0
40,28,0,0,0,0,1,0,0,0
40,34,0,0,0,0,1,0,0,0
56,39,0,0,0,0,1,0,0,0
50,28,0,0,0,0,1,0,0,0
20,19,0,0,0,1,0,0,0,0
40,57,0,0,1,0,0,0,0,1
45,46,0,0,1,0,0,0,0,1
50,24,0,0,0,0,1,0,0,1
20,19,1,0,0,0,0,0,0,0
60,41,0,0,1,0,0,0,0,1
32,32,0,0,1,0,0,0,0,0
40,27,0,0,0,0,1,0,0,0
20,21,0,0,0,0,1,0,0,0
40,21,0,0,0,0,1,0,0,0
50,51,0,0,1,0,0,0,0,1
40,39,1,0,0,0,0,0,0,0
40,42,0,0,1,0,0,0,0,0
50,41,0,0,0,0,1,0,0,1
35,23,1,0,0,0,0,0,0,0
48,23,0,0,0,0,1,0,0,0
40,34,0,0,0,0,1,0,0,0
40,26,0,0,0,0,1,0,0,0
40,41,0,0,1,0,0,0,0,0
50,39,0,0,1,0,0,0,0,1
40,23,0,0,0,0,1,0,0,0
20,18,0,0,0,0,1,0,0,0
40,39,0,0,1,0,0,0,0,0
14,18,0,0,0,0,1,0,0,0
40,53,0,0,1,0,0,0,0,0
40,50,0,0,1,0,0,0,0,1
18,29,0,0,1,0,0,0,0,0
20,73,0,0,0,0,0,0,1,0
50,59,0,0,1,0,0,0,0,0
50,29,0,0,0,0,1,0,0,0
40,41,0,0,0,0,1,0,0,0
40,24,0,0,1,0,0,0,0,0
35,68,0,0,0,0,0,0,1,0
40,33,0,0,0,0,1,0,0,0
40,28,0,0,0,0,1,0,0,0
50,49,0,0,0,0,0,1,0,0
40,43,0,0,1,0,0,0,0,1
40,33,0,0,0,0,1,0,0,0
99,55,0,0,1,0,0,0,0,1
40,34,0,0,1,0,0,0,0,1
75,71,0,0,0,0,1,0,0,0
16,21,0,0,0,0,1,0,0,0
50,24,0,0,1,0,0,0,0,0
60,47,0,0,1,0,0,0,0,1
40,49,0,0,0,0,0,1,0,0
40,29,0,0,1,0,0,0,0,0
35,64,0,0,1,0,0,0,0,1
15,65,0,0,0,0,0,0,1,0
60,45,0,0,1,0,0,0,0,0
35,24,0,0,0,0,1,0,0,0
40,76,0,0,1,0,0,0,0,0
50,34,1,0,0,0,0,0,0,1
40,30,0,0,1,0,0,0,0,0
72,37,0,0,1,0,0,0,0,0
40,30,0,0,0,0,1,0,0,0
40,63,1,0,0,0,0,0,0,1
40,29,0,0,1,0,0,0,0,0
30,24,0,0,0,0,1,0,0,0
40,52,0,0,1,0,0,0,0,1
55,33,0,0,0,0,1,0,0,0
30,25,0,0,0,0,1,0,0,0
40,60,0,0,1,0,0,0,0,0
40,29,0,0,0,0,1,0,0,0
65,22,0,0,0,0,1,0,0,0
60,41,0,0,1,0,0,0,0,1
65,26,0,0,0,0,1,0,0,0
48,50,0,0,0,0,1,0,0,1
20,20,0,0,0,0,1,0,0,0
40,45,0,0,0,0,1,0,0,0
55,28,0,0,1,0,0,0,0,0
45,29,0,0,1,0,0,0,0,0
40,49,0,0,1,0,0,0,0,0
40,45,0,0,1,0,0,0,0,0
40,38,0,0,1,0,0,0,0,1
40,49,0,0,1,0,0,0,0,1
50,27,0,0,1,0,0,0,0,1
40,58,0,0,1,0,0,0,0,0
40,39,1,0,0,0,0,0,0,0
40,58,0,0,1,0,0,0,0,0
40,28,0,0,0,0,1,0,0,0
7,28,0,0,1,0,0,0,0,0
10,27,0,0,0,0,1,0,0,0
40,40,0,0,0,0,1,0,0,0
40,43,0,0,1,0,0,0,0,0
40,27,0,0,0,0,1,0,0,0
21,61,0,0,0,0,0,0,1,0
40,32,0,0,1,0,0,0,0,0
40,50,1,0,0,0,0,0,0,0
50,45,0,0,1,0,0,0,0,0
70,40,0,0,1,0,0,0,0,1
25,42,0,0,0,0,1,0,0,0
50,59,0,0,1,0,0,0,0,1
60,33,0,0,1,0,0,0,0,1
40,32,0,0,1,0,0,0,0,0
28,39,0,0,1,0,0,0,0,0
72,58,0,0,1,0,0,0,0,1
16,22,0,0,0,0,1,0,0,0
45,41,0,0,1,0,0,0,0,1
40,25,1,0,0,0,0,0,0,0
60,63,0,0,1,0,0,0,0,1
50,66,0,0,1,0,0,0,0,1
40,38,1,0,0,0,0,0,0,0
16,20,0,0,0,0,1,0,0,0
40,39,0,0,0,0,0,1,0,0
42,29,0,0,1,0,0,0,0,0
30,18,0,0,0,0,1,0,0,0
96,41,0,0,1,0,0,0,0,0
30,53,0,0,0,0,0,0,1,0
40,31,0,0,1,0,0,0,0,0
40,36,1,0,0,0,0,0,0,0
40,33,0,0,1,0,0,0,0,1
40,64,0,0,1,0,0,0,0,0
38,43,1,0,0,0,0,0,0,0
30,18,0,0,0,0,1,0,0,0
40,38,0,0,1,0,0,0,0,1
40,23,0,0,0,0,1,0,0,0
25,72,0,0,0,0,0,0,1,0
48,33,1,0,0,0,0,0,0,1
40,35,0,0,1,0,0,0,0,1
50,46,1,0,0,0,0,0,0,0
40,47,0,0,1,0,0,0,0,0
50,36,0,0,1,0,0,0,0,1
40,33,0,0,0,0,1,0,0,0
40,58,0,0,1,0,0,0,0,1
50,39,0,0,1,0,0,0,0,1
50,36,0,0,1,0,0,0,0,1
56,29,0,0,0,0,1,0,0,0
50,32,0,0,0,0,1,0,0,1
45,48,0,0,1,0,0,0,0,1
15,17,0,0,0,0,1,0,0,0
50,30,0,0,1,0,0,0,0,0
40,26,0,0,1,0,0,0,0,0
40,50,0,0,1,0,0,0,0,1
60,27,0,0,0,0,1,0,0,0
50,30,0,0,0,0,1,0,0,1
30,76,0,0,1,0,0,0,0,0
55,34,0,0,1,0,0,0,0,1
40,60,0,0,1,0,0,0,0,1
25,22,0,0,0,0,1,0,0,0
50,53,0,0,1,0,0,0,0,1
64,65,1,0,0,0,0,0,0,0
50,42,1,0,0,0,0,0,0,0
40,22,0,0,0,0,1,0,0,0
45,72,0,0,1,0,0,0,0,0
40,33,1,0,0,0,0,0,0,0
40,36,0,0,1,0,0,0,0,1
40,51,0,0,1,0,0,0,0,0
50,48,0,0,0,0,1,0,0,0
40,49,0,0,1,0,0,0,0,0
40,41,0,0,1,0,0,0,0,1
50,34,0,0,1,0,0,0,0,0
55,38,1,0,0,0,0,0,0,0
45,55,1,0,0,0,0,0,0,0
35,61,1,0,0,0,0,0,0,0
40,47,0,0,1,0,0,0,0,0
40,45,1,0,0,0,0,0,0,0
40,43,0,0,1,0,0,0,0,1
22,23,0,0,0,0,1,0,0,0
45,37,0,0,1,0,0,0,0,1
40,30,0,0,0,0,1,0,0,0
35,42,0,0,1,0,0,0,0,1
36,31,0,0,1,0,0,0,0,0
40,53,1,0,0,0,0,0,0,0
40,47,0,0,1,0,0,0,0,0
40,37,0,0,1,0,0,0,0,1
4,71,0,0,1,0,0,0,0,0
40,20,0,0,0,0,1,0,0,0
50,45,0,0,1,0,0,0,0,1
35,22,0,0,0,0,0,1,0,0
50,50,0,0,1,0,0,0,0,1
53,20,0,0,0,0,1,0,0,0
40,23,0,0,0,0,1,0,0,0
40,43,0,0,0,0,1,0,0,0
45,37,0,0,1,0,0,0,0,1
18,17,0,0,0,0,1,0,0,0
60,40,0,0,1,0,0,0,0,0
70,43,1,0,0,0,0,0,0,1
40,23,0,0,0,0,1,0,0,0
50,51,0,0,1,0,0,0,0,0
40,42,0,0,1,0,0,0,0,0
48,43,0,0,0,0,1,0,0,1
45,39,1,0,0,0,0,0,0,0
40,41,1,0,0,0,0,0,0,0
25,27,0,0,0,0,0,1,0,0
40,23,0,0,0,0,1,0,0,0
36,62,0,0,0,0,0,0,1,0
50,38,0,0,1,0,0,0,0,0
40,21,0,0,1,0,0,0,0,0
25,18,0,0,0,0,1,0,0,0
25,40,0,0,0,0,0,1,0,0
40,29,1,0,0,0,0,0,0,0
30,22,0,0,1,0,0,0,0,0
35,28,0,0,0,0,1,0,0,0
40,66,0,0,1,0,0,0,0,0
60,35,0,0,0,0,1,0,0,0
40,30,0,0,1,0,0,0,0,0
40,46,0,0,1,0,0,0,0,0
40,25,0,0,0,0,1,0,0,0
10,17,0,0,0,0,1,0,0,0
50,31,0,0,1,0,0,0,0,1
30,20,0,0,0,0,1,0,0,0
50,38,1,0,0,0,0,0,0,0
40,32,0,0,0,0,1,0,0,0
40,39,0,0,0,0,1,0,0,0
40,54,0,0,1,0,0,0,0,1
40,32,0,0,0,0,1,0,0,0
40,31,0,0,1,0,0,0,0,0
40,41,1,0,0,0,0,0,0,0
40,49,0,0,1,0,0,0,0,0
40,47,0,0,0,0,0,0,1,0
42,51,0,0,1,0,0,0,0,0
40,58,0,0,1,0,0,0,0,0
50,34,1,0,0,0,0,0,0,0
60,39,0,0,1,0,0,0,0,0
40,58,0,0,1,0,0,0,0,1
99,38,0,0,1,0,0,0,0,0
40,28,0,0,0,0,1,0,0,0
40,18,0,0,0,0,1,0,0,0
40,20,0,0,0,0,1,0,0,0
60,46,0,0,1,0,0,0,0,1
40,41,0,0,1,0,0,0,0,0
40,30,0,0,0,0,1,0,0,0
40,51,0,0,0,0,0,1,0,0
32,21,0,0,0,0,1,0,0,0
40,40,0,0,1,0,0,0,0,1
40,42,0,0,1,0,0,0,0,1
60,46,0,0,1,0,0,0,0,1
30,17,0,0,0,0,1,0,0,0
5,17,0,0,0,0,1,0,0,0
80,64,0,0,1,0,0,0,0,0
40,64,0,0,1,0,0,0,0,1
40,33,0,0,1,0,0,0,0,0
40,22,0,0,0,0,1,0,0,0
32,70,0,0,0,0,0,0,1,0
30,23,0,0,0,0,1,0,0,0
40,24,0,0,0,0,1,0,0,0
50,52,0,0,1,0,0,0,0,1
40,30,0,1,0,0,0,0,0,0
38,44,0,0,0,0,1,0,0,0
55,65,0,0,0,0,0,0,1,0
65,48,1,0,0,0,0,0,0,0
40,60,0,0,1,0,0,0,0,0
40,36,1,0,0,0,0,0,0,0
45,36,0,0,1,0,0,0,0,1
40,20,0,0,0,0,1,0,0,0
40,52,1,0,0,0,0,0,0,0
41,47,0,0,1,0,0,0,0,1
45,34,0,0,1,0,0,0,0,0
40,26,0,0,0,0,1,0,0,0
40,20,0,0,0,0,1,0,0,0
70,45,1,0,0,0,0,0,0,0
50,29,0,0,0,0,1,0,0,0
70,39,0,0,1,0,0,0,0,0
30,29,1,0,0,0,0,0,0,0
40,25,0,0,0,0,1,0,0,0
40,54,0,0,1,0,0,0,0,0
50,51,0,0,0,0,1,0,0,1
35,36,0,0,1,0,0,0,0,0
25,20,0,0,0,0,1,0,0,0
40,29,0,0,0,0,1,0,0,0
60,31,0,0,0,0,1,0,0,1
20,65,0,0,0,0,0,0,1,0
40,33,0,0,1,0,0,0,0,1
45,22,0,0,1,0,0,0,0,0
50,23,0,0,0,0,1,0,0,1
40,26,0,0,1,0,0,0,0,1
40,46,0,0,1,0,0,0,0,0
45,40,0,0,1,0,0,0,0,0
20,18,0,0,0,0,1,0,0,0
40,39,0,0,1,0,0,0,0,1
40,51,0,0,1,0,0,0,0,0
20,72,0,0,1,0,0,0,0,0
30,20,0,0,0,0,1,0,0,0
25,24,0,0,0,0,1,0,0,0
40,50,0,0,0,0,0,1,0,0
50,39,1,0,0,0,0,0,0,1
40,41,0,0,1,0,0,0,0,0
35,46,0,0,1,0,0,0,0,1
30,23,0,0,0,0,1,0,0,0
45,36,0,0,1,0,0,0,0,1
52,41,0,0,1,0,0,0,0,0
60,38,0,0,0,1,0,0,0,1
16,74,1,0,0,0,0,0,0,0
60,34,0,0,0,0,0,1,0,0
50,31,0,0,1,0,0,0,0,1
15,22,0,0,0,0,1,0,0,0
40,40,0,0,1,0,0,0,0,1
40,42,1,0,0,0,0,0,0,0
40,40,0,0,1,0,0,0,0,0
16,17,0,0,0,0,1,0,0,0
